y
0
1
0
0
0
0
0
0
0
1
2
3
2
0
0
3
6
11
16
14
11
3
26
16
33
21
35
68
46
241
786
386
283
197
141
129
167
187
173
148
116
51
66
94
105
128
151
62
30
39
24
20
23
7
7
7
4
7
3
0
0
